id,code,country_id/id,name
city_cl_10301,CL10301,base.cl,Osorno (Reg. de los Lagos)
city_cl_10404,CL10404,base.cl,Palena (Reg. de los Lagos)
city_cl_10101,CL10101,base.cl,Puerto Montt (Reg. de los Lagos)
city_cl_10302,CL10302,base.cl,Puerto Octay (Reg. de los Lagos)
city_cl_10109,CL10109,base.cl,Puerto Varas (Reg. de los Lagos)
city_cl_10206,CL10206,base.cl,Puqueldón (Reg. de los Lagos)
city_cl_10303,CL10303,base.cl,Purranque (Reg. de los Lagos)
city_cl_10304,CL10304,base.cl,Puyehue (Reg. de los Lagos)
city_cl_10207,CL10207,base.cl,Queilén (Reg. de los Lagos)
city_cl_10208,CL10208,base.cl,Quellón (Reg. de los Lagos)
city_cl_10209,CL10209,base.cl,Quemchi (Reg. de los Lagos)
city_cl_10210,CL10210,base.cl,Quinchao (Reg. de los Lagos)
city_cl_10305,CL10305,base.cl,Río Negro (Reg. de los Lagos)
city_cl_10306,CL10306,base.cl,San Juan de la Costa (Reg. de los Lagos)
city_cl_10307,CL10307,base.cl,San Pablo (Reg. de los Lagos)
base.state_cl_11,CL11201,base.cl,Aisén (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11401,CL11401,base.cl,Chile Chico (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11202,CL11202,base.cl,Cisnes (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11301,CL11301,base.cl,Cochrane (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11101,CL11101,base.cl,Coihaique (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11203,CL11203,base.cl,Guaitecas (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11102,CL11102,base.cl,Lago Verde (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11302,CL11302,base.cl,Ohiggins (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11402,CL11402,base.cl,Río Ibáñez (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
city_cl_11303,CL11303,base.cl,Tortel (Reg. Aysén del Gral. Carlos Ibáñez del Campo)
base.state_cl_12,CL12202,base.cl,ANTÁRTICA (Reg. Magallanes)
city_cl_12201,CL12201,base.cl,Cabo de Hornos (Reg. Magallanes)
city_cl_12102,CL12102,base.cl,Laguna Blanca (Reg. Magallanes)
city_cl_12401,CL12401,base.cl,Natales (Reg. Magallanes)
city_cl_12301,CL12301,base.cl,Porvenir (Reg. Magallanes)
city_cl_12302,CL12302,base.cl,Primavera (Reg. Magallanes)
city_cl_12101,CL12101,base.cl,Punta Arenas (Reg. Magallanes)
city_cl_12103,CL12103,base.cl,Río Verde (Reg. Magallanes)
city_cl_12104,CL12104,base.cl,San Gregorio (Reg. Magallanes)
city_cl_12303,CL12303,base.cl,Timaukel (Reg. Magallanes)
city_cl_12402,CL12402,base.cl,Torres del Paine (Reg. Magallanes)
base.state_cl_13,CL13502,base.cl,Alhué (Reg. Metropolitana)
city_cl_13402,CL13402,base.cl,Buin (Reg. Metropolitana)
city_cl_13403,CL13403,base.cl,Calera de Tango (Reg. Metropolitana)
city_cl_13102,CL13102,base.cl,Cerrillos (Reg. Metropolitana)
city_cl_13103,CL13103,base.cl,Cerro Navia (Reg. Metropolitana)
city_cl_13301,CL13301,base.cl,Colina (Reg. Metropolitana)
city_cl_13104,CL13104,base.cl,Conchalí (Reg. Metropolitana)
city_cl_13503,CL13503,base.cl,Curacaví (Reg. Metropolitana)
city_cl_13105,CL13105,base.cl,El Bosque (Reg. Metropolitana)
city_cl_13602,CL13602,base.cl,El Monte (Reg. Metropolitana)
city_cl_13106,CL13106,base.cl,Estación Central (Reg. Metropolitana)
city_cl_13107,CL13107,base.cl,Huechuraba (Reg. Metropolitana)
city_cl_13108,CL13108,base.cl,Independencia (Reg. Metropolitana)
city_cl_13603,CL13603,base.cl,Isla de Maipo (Reg. Metropolitana)
city_cl_13109,CL13109,base.cl,La Cisterna (Reg. Metropolitana)
city_cl_13110,CL13110,base.cl,La Florida (Reg. Metropolitana)
city_cl_13111,CL13111,base.cl,La Granja (Reg. Metropolitana)
city_cl_13302,CL13302,base.cl,Lampa (Reg. Metropolitana)
city_cl_13112,CL13112,base.cl,La Pintana (Reg. Metropolitana)
city_cl_13113,CL13113,base.cl,La Reina (Reg. Metropolitana)
city_cl_13114,CL13114,base.cl,Las Condes (Reg. Metropolitana)
city_cl_13115,CL13115,base.cl,Lo Barnechea (Reg. Metropolitana)
city_cl_13116,CL13116,base.cl,Lo Espejo (Reg. Metropolitana)
city_cl_13117,CL13117,base.cl,Lo Prado (Reg. Metropolitana)
city_cl_13118,CL13118,base.cl,Macul (Reg. Metropolitana)
city_cl_13119,CL13119,base.cl,Maipú (Reg. Metropolitana)
city_cl_13504,CL13504,base.cl,María Pinto (Reg. Metropolitana)
city_cl_13501,CL13501,base.cl,Melipilla (Reg. Metropolitana)
city_cl_13120,CL13120,base.cl,Ñuñoa (Reg. Metropolitana)
city_cl_13604,CL13604,base.cl,Padre Hurtado (Reg. Metropolitana)
city_cl_13404,CL13404,base.cl,Paine (Reg. Metropolitana)
city_cl_13121,CL13121,base.cl,Pedro Aguirre Cerda (Reg. Metropolitana)
city_cl_13605,CL13605,base.cl,Peñaflor (Reg. Metropolitana)
city_cl_13122,CL13122,base.cl,Peñalolén (Reg. Metropolitana)
city_cl_13202,CL13202,base.cl,Pirque (Reg. Metropolitana)
city_cl_13123,CL13123,base.cl,Providencia (Reg. Metropolitana)
city_cl_13124,CL13124,base.cl,Pudahuel (Reg. Metropolitana)
city_cl_13201,CL13201,base.cl,Puente Alto (Reg. Metropolitana)
city_cl_13125,CL13125,base.cl,Quilicura (Reg. Metropolitana)
city_cl_13126,CL13126,base.cl,Quinta Normal (Reg. Metropolitana)
city_cl_13127,CL13127,base.cl,Recoleta (Reg. Metropolitana)
city_cl_13128,CL13128,base.cl,Renca (Reg. Metropolitana)
city_cl_13401,CL13401,base.cl,San Bernardo (Reg. Metropolitana)
city_cl_13129,CL13129,base.cl,San Joaquín (Reg. Metropolitana)
city_cl_13203,CL13203,base.cl,San José de Maipo (Reg. Metropolitana)
city_cl_13130,CL13130,base.cl,San Miguel (Reg. Metropolitana)
city_cl_13505,CL13505,base.cl,San Pedro (Reg. Metropolitana)
city_cl_13131,CL13131,base.cl,San Ramón (Reg. Metropolitana)
city_cl_13101,CL13101,base.cl,Santiago (Reg. Metropolitana)
city_cl_13601,CL13601,base.cl,Talagante (Reg. Metropolitana)
city_cl_13303,CL13303,base.cl,Til til (Reg. Metropolitana)
city_cl_13132,CL13132,base.cl,Vitacura (Reg. Metropolitana)
base.state_cl_14,CL14102,base.cl,Corral (Reg. Los Ríos)
city_cl_14202,CL14202,base.cl,Futrono (Reg. Los Ríos)
city_cl_14203,CL14203,base.cl,Lago Ranco (Reg. Los Ríos)
city_cl_14103,CL14103,base.cl,Lanco (Reg. Los Ríos)
city_cl_14201,CL14201,base.cl,La Unión (Reg. Los Ríos)
city_cl_14104,CL14104,base.cl,Los Lagos (Reg. Los Ríos)
city_cl_14105,CL14105,base.cl,Máfil (Reg. Los Ríos)
city_cl_14106,CL14106,base.cl,Mariquina (Reg. Los Ríos)
city_cl_14107,CL14107,base.cl,Paillaco (Reg. Los Ríos)
city_cl_14108,CL14108,base.cl,Panguipulli (Reg. Los Ríos)
city_cl_14204,CL14204,base.cl,Río Bueno (Reg. Los Ríos)
city_cl_14101,CL14101,base.cl,Valdivia (Reg. Los Ríos)
base.state_cl_15,CL15101,base.cl,Arica (Reg. Arica y Parinacota)
city_cl_15102,CL15102,base.cl,Camarones (Reg. Arica y Parinacota)
city_cl_15202,CL15202,base.cl,General Lagos (Reg. Arica y Parinacota)
city_cl_15201,CL15201,base.cl,Putre (Reg. Arica y Parinacota)
base.state_cl_16,CL08402,base.cl,Bulnes (Reg. del Ñuble)
city_cl_08401,CL08401,base.cl,Chillán (Reg. del Ñuble)
city_cl_08406,CL08406,base.cl,Chillán Viejo (Reg. del Ñuble)
city_cl_08403,CL08403,base.cl,Cobquecura (Reg. del Ñuble)
city_cl_08404,CL08404,base.cl,Coelemu (Reg. del Ñuble)
city_cl_08405,CL08405,base.cl,Coihueco (Reg. del Ñuble)
city_cl_08407,CL08407,base.cl,El Carmen (Reg. del Ñuble)
city_cl_08408,CL08408,base.cl,Ninhue (Reg. del Ñuble)
city_cl_08409,CL08409,base.cl,Ñiquén (Reg. del Ñuble)
city_cl_08410,CL08410,base.cl,Pemuco (Reg. del Ñuble)
city_cl_08411,CL08411,base.cl,Pinto (Reg. del Ñuble)
city_cl_08412,CL08412,base.cl,Portezuelo (Reg. del Ñuble)
city_cl_08413,CL08413,base.cl,Quillón (Reg. del Ñuble)
city_cl_08414,CL08414,base.cl,Quirihue (Reg. del Ñuble)
city_cl_08415,CL08415,base.cl,Ranquil (Reg. del Ñuble)
city_cl_08416,CL08416,base.cl,San Carlos (Reg. del Ñuble)
city_cl_08417,CL08417,base.cl,San Fabián (Reg. del Ñuble)
city_cl_08418,CL08418,base.cl,San Ignacio (Reg. del Ñuble)
city_cl_08419,CL08419,base.cl,San Nicolás (Reg. del Ñuble)
city_cl_08420,CL08420,base.cl,Trehuaco (Reg. del Ñuble)
city_cl_08421,CL08421,base.cl,Yungay (Reg. del Ñuble)
